index,Start ts,End ts,Label
6,92.77064305941263,96.8161950747172,collect-Aluminium Metal
7,101.83871609369913,105.84271103541056,collect-Bark Wood
5,110.87451702753702,114.88941318194071,collect-Textile
8,119.91752511660258,123.95491105715433,collect-PLA plastic
7,137.99900013605753,142.0244880358378,collect-Bark Wood
6,147.02948004404703,151.04182511965433,collect-Aluminium Metal
5,156.06775314013163,160.11293512980143,collect-Textile
7,165.14011699358622,169.18393904368082,collect-Bark Wood
5,174.2195289770762,178.2546101252238,collect-Textile
7,183.2839661280314,187.3116191069285,collect-Bark Wood
6,192.31457811991373,196.31613618532816,collect-Aluminium Metal
5,201.31913000742594,205.32109409968058,collect-Textile
6,210.32356816927592,214.32514006296793,collect-Aluminium Metal
8,219.32805806795756,223.3296821753184,collect-PLA plastic
8,228.33278996149699,232.3343949953715,collect-PLA plastic
8,264.40183216730753,268.42456204096476,collect-PLA plastic
5,291.50108415285746,295.50998407999674,collect-Textile
6,300.5481820742289,304.58157211939493,collect-Aluminium Metal
8,309.58580810228983,313.59182912508646,collect-PLA plastic
6,318.62135202089945,322.6247020403544,collect-Aluminium Metal
6,327.6279900709788,331.634602133433,collect-Aluminium Metal
5,336.6552081743876,340.65723711649576,collect-Textile
8,345.65983707110087,349.66419202486674,collect-PLA plastic
7,354.66542297999064,358.6712461153666,collect-Bark Wood
5,363.6732600371043,367.7126520315806,collect-Textile
8,381.81830412546793,385.8219290415446,collect-PLA plastic
8,399.8314300219218,403.86039215723673,collect-PLA plastic
6,408.8676560560862,412.909539047877,collect-Aluminium Metal
5,417.9322360197703,421.93711716334025,collect-Textile
7,426.94140202204386,430.98054916063944,collect-Bark Wood
7,435.9836791197459,440.0188580195109,collect-Bark Wood
7,445.0421531836192,449.0543339888255,collect-Bark Wood
5,454.09648496309916,458.13269216219584,collect-Textile
6,463.15212613741556,467.16493016878763,collect-Aluminium Metal
8,481.27046710650126,485.3042250315348,collect-PLA plastic
5,490.33947903315226,494.3789940516154,collect-Textile
7,499.40676600138346,503.449441019694,collect-Bark Wood
5,508.4864969889323,512.5258000532785,collect-Textile
8,517.5592740217844,521.5845471064249,collect-PLA plastic
7,526.6249490420023,530.6335180441538,collect-Bark Wood
6,535.6611281077066,539.662926975886,collect-Aluminium Metal
6,553.7078400293985,557.708601061503,collect-Aluminium Metal
8,571.8126700560251,575.8521111647287,collect-PLA plastic
7,580.8839841524759,584.8871830145517,collect-Bark Wood
6,598.928510014216,602.96512204806,collect-Aluminium Metal
8,607.9672301451365,612.0056350866953,collect-PLA plastic
5,617.0447400252024,621.0759361426035,collect-Textile
7,626.1145010630289,630.150453154246,collect-Bark Wood
7,644.2189930121103,648.2533350626627,collect-Bark Wood
7,653.2559140364328,657.2600000540415,collect-Bark Wood
6,662.2629590670267,666.2856960932413,collect-Aluminium Metal
7,671.288150135676,675.3016870657602,collect-Bark Wood
6,680.3058491388956,684.3364279905954,collect-Aluminium Metal
6,689.3795321623484,693.411922041575,collect-Aluminium Metal
8,698.4461351076761,702.4510641733805,collect-PLA plastic
8,716.5204029719034,720.5568349997202,collect-PLA plastic
8,725.5974240938822,729.5979910532633,collect-PLA plastic
5,743.6688800493876,747.6995211283365,collect-Textile
7,752.7381051222483,756.7406531016031,collect-Bark Wood
5,770.8179631868998,774.8528230826059,collect-Textile
6,779.8796311060587,783.921942059199,collect-Aluminium Metal
5,788.9235931078592,792.9616261164347,collect-Textile
5,797.9987400213877,802.0299211184183,collect-Textile
8,807.0367110411325,811.0695939699808,collect-PLA plastic
5,834.1828900019327,838.2200551668802,collect-Textile
8,843.2541499773661,847.2865031401316,collect-PLA plastic
7,852.3190570513407,856.3234849611918,collect-Bark Wood
7,861.3669100443522,865.3875191847483,collect-Bark Wood
8,870.3902731577555,874.3997951189676,collect-PLA plastic
5,879.4288490454355,883.431212011973,collect-Textile
8,888.4732480684916,892.5104411284128,collect-PLA plastic
6,897.5407369772593,901.5470810572306,collect-Aluminium Metal
7,906.5732410589853,910.585102144877,collect-Bark Wood
5,915.5869570414225,919.6213529745737,collect-Textile
6,933.6868291536966,937.688803021113,collect-Aluminium Metal
5,942.6996920744577,946.739685122172,collect-Textile
8,951.7733531634012,955.8087599913279,collect-PLA plastic
6,960.837352101008,964.8755851427713,collect-Aluminium Metal
7,969.8783109823862,973.8831849733988,collect-Bark Wood
6,987.9812009970346,991.9872501532236,collect-Aluminium Metal
