index,Start ts,End ts,Label
5,797.3088341585795,801.3154271475474,collect-Textile
8,806.3596630922954,810.3901761404674,collect-PLA plastic
5,815.391786181132,819.4170430533092,collect-Textile
5,824.4260471693675,828.4260600439708,collect-Textile
6,833.4721041552226,837.4968961111705,collect-Aluminium Metal
7,842.537559115092,846.567956053416,collect-Bark Wood
8,851.574908100764,855.6107281080882,collect-PLA plastic
6,860.6385470263164,864.6785422197978,collect-Aluminium Metal
6,878.7197130552928,882.7544461123149,collect-Aluminium Metal
7,896.7841611735026,900.7932170263927,collect-Bark Wood
7,905.7995570532481,909.8243161074321,collect-Bark Wood
8,923.8737190596263,927.874336086909,collect-PLA plastic
8,941.9774261347453,946.0124350420634,collect-PLA plastic
7,951.0154050223033,955.0155821673076,collect-Bark Wood
5,960.0433481566112,964.0548380247752,collect-Textile
6,969.0932432047526,973.1281991831462,collect-Aluminium Metal
5,978.1578131548564,982.1642051569621,collect-Textile
8,987.2025740973155,991.2286291948955,collect-PLA plastic
7,996.2623921267192,1000.2660251490275,collect-Bark Wood
8,1005.3078571192424,1009.3092180124919,collect-PLA plastic
5,1014.3166700236003,1018.3507471911113,collect-Textile
5,1023.3825000158946,1027.3846190802255,collect-Textile
6,1032.4148431650797,1036.45662220637,collect-Aluminium Metal
7,1041.492258154551,1045.5257180563608,collect-Bark Wood
6,1050.557169043223,1054.5625141493479,collect-Aluminium Metal
7,1059.5901301733652,1063.5976260534921,collect-Bark Wood
5,1077.639856182734,1081.6737271181742,collect-Textile
6,1104.787965141932,1108.7940741411844,collect-Aluminium Metal
8,1113.8177162043253,1117.8237460486093,collect-PLA plastic
8,1122.8300290934244,1126.8594110838571,collect-PLA plastic
7,1140.9244550100962,1144.9322591654459,collect-Bark Wood
6,1149.9374972216287,1153.963582121531,collect-Aluminium Metal
8,1158.968377195994,1162.9787979952494,collect-PLA plastic
5,1168.016880118052,1172.0502801767984,collect-Textile
6,1177.073166214625,1181.0805362097421,collect-Aluminium Metal
8,1186.122525059382,1190.1237381331125,collect-PLA plastic
6,1204.1621371142069,1208.191466175715,collect-Aluminium Metal
7,1213.1971660486856,1217.2357161871591,collect-Bark Wood
7,1222.274445139567,1226.3073931566873,collect-Bark Wood
6,1231.3313301436106,1235.3331762186685,collect-Aluminium Metal
8,1240.3707722059885,1244.3815790049234,collect-PLA plastic
8,1267.4914592138925,1271.4934521547952,collect-PLA plastic
7,1276.495816075007,1280.5260902277628,collect-Bark Wood
5,1285.5640381209055,1289.59982117335,collect-Textile
5,1294.6339190832773,1298.6388991705576,collect-Textile
5,1303.6738470427194,1307.7063511244455,collect-Textile
7,1312.740885101954,1316.7447121969858,collect-Bark Wood
6,1321.7757449976602,1325.784018122355,collect-Aluminium Metal
