index,Start ts,End ts,Label
5,26.672066557566325,30.705356466929118,collect-Textile
5,35.74380861536662,39.74809561983744,collect-Textile
6,44.776375639597575,48.779575693766276,collect-Aluminium Metal
8,53.80659257189433,57.81210147158305,collect-PLA plastic
8,62.81301962153117,66.81484948412577,collect-PLA plastic
6,71.86479269282023,75.88503466860453,collect-Aluminium Metal
6,80.89639650599162,84.92995153681437,collect-Aluminium Metal
7,89.97456251398722,94.00077854410807,collect-Bark Wood
5,99.01191459910075,103.0303476931254,collect-Textile
8,108.03878961817423,112.07690058962504,collect-PLA plastic
5,126.18324958101908,130.2187934996287,collect-Textile
7,135.26056848780314,139.29364453570048,collect-Bark Wood
6,144.2960606695811,148.29913555399577,collect-Aluminium Metal
7,180.53863750712077,184.5417104841868,collect-Bark Wood
7,189.54446660296122,193.54560052172343,collect-Bark Wood
8,198.5538116575877,202.55760561243693,collect-PLA plastic
