index,Start ts,End ts,Label
8,56.27888510767619,60.30636714045207,collect-PLA plastic
7,74.38778017107646,78.42433307711283,collect-Bark Wood
5,83.42615411822001,87.46153925005595,collect-Textile
6,92.49269412104289,96.53264210764567,collect-Aluminium Metal
5,101.53480313364665,105.56975315157572,collect-Textile
6,119.67795823160807,123.69630525652568,collect-Aluminium Metal
6,128.7155611330668,132.7467281634013,collect-Aluminium Metal
7,137.75286720339457,141.78483508173625,collect-Bark Wood
5,155.8280372435252,159.84928606096904,collect-Textile
8,164.85000727717082,168.86880229059855,collect-PLA plastic
6,173.90487025324504,177.9390320593516,collect-Aluminium Metal
5,192.00271223131816,196.00810621325175,collect-Textile
7,201.0151171499888,205.0442042166392,collect-Bark Wood
7,210.08972929064433,214.12021205965678,collect-Bark Wood
8,219.14308522288005,223.14582107607524,collect-PLA plastic
8,228.15770624224345,232.16212509218852,collect-PLA plastic
8,237.1942970568339,241.23357914034526,collect-PLA plastic
5,264.3770041281382,268.3801002318064,collect-Textile
7,282.41967127863563,286.4202532583872,collect-Bark Wood
7,291.455172281901,295.4612681681315,collect-Bark Wood
8,300.49695418421425,304.5332562739054,collect-PLA plastic
5,309.5687870794932,313.60340521876014,collect-Textile
8,318.6359450632731,322.6717502886454,collect-PLA plastic
5,327.6997451597849,331.73709819857277,collect-Textile
6,336.77284906450905,340.7760972792307,collect-Aluminium Metal
6,345.7793590838114,349.7811970526377,collect-Aluminium Metal
6,354.7844202334086,358.78603718821205,collect-Aluminium Metal
7,363.78885410372413,367.7907230669657,collect-Bark Wood
8,372.82469008509315,376.8278202826182,collect-PLA plastic
5,381.86418507639564,385.86615417544044,collect-Textile
6,390.8685412222544,394.87050316874183,collect-Aluminium Metal
7,408.9110550696055,412.91321609560646,collect-Bark Wood
7,417.9162001425425,421.9172930533091,collect-Bark Wood
7,426.9208252245585,430.92209313456215,collect-Bark Wood
8,435.92457316462196,439.92652319018043,collect-PLA plastic
5,444.929227095286,448.9312362486521,collect-Textile
5,453.93411515299476,457.93597720209755,collect-Textile
5,471.94310305658973,475.9448251539866,collect-Textile
7,480.98048828188575,484.9830021673838,collect-Bark Wood
6,498.9898690992991,502.9920401388804,collect-Aluminium Metal
8,508.00383709017433,512.0502402598063,collect-PLA plastic
6,526.1438231283823,530.1513442808787,collect-Aluminium Metal
8,535.152611237208,539.1585342699686,collect-PLA plastic
5,553.2336311155955,557.2589702421824,collect-Textile
6,562.2608101183573,566.2713670546214,collect-Aluminium Metal
7,571.2772211844126,575.3086821848551,collect-Bark Wood
8,580.3418180758158,584.385191183726,collect-PLA plastic
6,589.4044542128245,593.409132223765,collect-Aluminium Metal
7,598.4163162523905,602.4568381125132,collect-Bark Wood
8,607.46490619723,611.4855930620829,collect-PLA plastic
7,616.4872290903727,620.4919771963755,collect-Bark Wood
5,625.4950532728831,629.5059680754343,collect-Textile
8,634.5116801077525,638.537562113444,collect-PLA plastic
6,643.5424251372019,647.5430261904398,collect-Aluminium Metal
8,661.6173322016398,665.652492266337,collect-PLA plastic
5,670.6911551767985,674.7289521509806,collect-Textile
8,679.7665290648142,683.7875940615336,collect-PLA plastic
5,688.7968001181284,692.831628065745,collect-Textile
7,697.8664672190348,701.8698422724406,collect-Bark Wood
6,706.9114861303965,710.9500171953837,collect-Aluminium Metal
6,734.0219120794932,738.0464970881144,collect-Aluminium Metal
6,743.0495512301127,747.0511600786845,collect-Aluminium Metal
5,752.0584862047831,756.0660002047221,collect-Textile
7,770.1717622095744,774.2112161928812,collect-Bark Wood
