index,Start ts,End ts,Label
7,31.518331321080527,35.55007937749227,collect-Bark Wood
8,49.55695751508077,53.55876234372457,collect-PLA plastic
6,58.56122139294942,62.56339433987935,collect-Aluminium Metal
7,85.60858252843221,89.61050752003987,collect-Bark Wood
8,94.61247351964315,98.61461451848348,collect-PLA plastic
5,103.61686733563741,107.61957434018453,collect-Textile
8,112.62199738820394,116.62392452557881,collect-PLA plastic
6,121.62626150449117,125.6281993707021,collect-Aluminium Metal
8,130.63050440152486,134.63265040715535,collect-PLA plastic
5,139.63516834576924,143.63755634625753,collect-Textile
7,148.63958552678426,152.6415644009908,collect-Bark Wood
6,157.64404848416646,161.6459884961446,collect-Aluminium Metal
7,166.6483924706777,170.65069154103597,collect-Bark Wood
5,175.65334442456563,179.65515950520833,collect-Textile
6,193.66299346288045,197.6649003346761,collect-Aluminium Metal
5,202.66625550587972,206.66882351239522,collect-Textile
